L_n 64[um] "Negative electrode thickness"
L_p 68[um] "Positive electrode thickness"
L_sep 25[um] "Separator thickness"
R_n 3.48[um] "Particle radius in negative electrode"
R_p 0.59[um] "Particle radius in positive electrode"
Acc 2.54[cm^2] "Electrode cross-section area"
T0 298.15[K] "Cell temperature"
csmax_n 14.54[kmol/m^3] "Max concentration in negative electrode"
csmax_p 15.32[kmol/m^3] "Max concentration in positive electrode"
cs_0_n 13.52[kmol/m^3] "Initial concentration in negative electrode"
cs_0_p 3.32[kmol/m^3] "Initial concentration in positive electrode"
cl_0 1[kmol/m^3] "NaPF6 initial concentration in electrolyte"
alpha 0.5 "Charge transfer coefficient"
tplus 0.45 "Transfer number"
sigmaeff_n 256[S/m] "Negative electrode conductivity"
sigmaeff_p 50[S/m] "Positive electrode conductivity"
epsl_n 0.51 "Electrolyte volume fraction in negative electrode"
epsl_p 0.23 "Electrolyte volume fraction in positive electrode"
epsl_sep 0.55 "Electrolyte volume fraction in separator"
epsf_n 0.001 "Filler volume fraction in negative electrode"
epsf_p 0.22 "Filler volume fraction in positive electrode"
Rct_n 2[mohm*m^2] "Contact resistance in negative electrode"
Rct_p 8.5[mohm*m^2] "Contact resistance in positive electrode"
E_min 2.5 "Minimum voltage"
cl_ref 1[mol/m^3] "Reference NaPF6 concentration in electrolyte in kinetics expressions"
I_app 1[A/m^2] "Applied current density"
Q_n cs_0_n*(1-epsl_n-epsf_n)*L_n*F_const "Sodium inventory in negative electrode at initial conditions"
Q_p (csmax_p-cs_0_p)*(1-epsl_p-epsf_p)*L_p*F_const "Remaining host capacity in positive electrode at initial conditions"
T_dch min(Q_n,Q_p)/I_app "Discharge time assessment"
